,title,tagline,overview,genres,popularity,description
894,Bulletproof Monk,A power beyond measure requires a protector without equal.,"A mysterious and immortal Tibetan kung fu master, who has spent the last 60 years traveling around the world protecting the ancient Scroll of the Ultimate, mentors a selfish street kid in the ancient intricacies of kung fu.","[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 14, ""name"": ""Fantasy""}]",15.207070000000002,power beyond measure requires protector without equal mysterious immortal tibetan kung fu master spent last 60 years traveling around world protecting ancient scroll ultimate mentors selfish street kid ancient intricacies kung fu
895,"Me, Myself & Irene",From gentle to mental.,"Rhode Island State Trooper Charlie Baileygates has a multiple personality disorder. One personality is crazy and aggressive, while the other is more friendly and laid back. Both of these personalities fall in love with the same woman named Irene after Charlie loses his medication.","[{""id"": 35, ""name"": ""Comedy""}]",39.001682,gentle mental rhode island state trooper charlie baileygates multiple personality disorder one personality crazy aggressive friendly laid back personalities fall love woman named irene charlie loses medication
896,Barnyard,What happens in the barn stays in the barn,"When things get crazy at the farm, it's up to a boisterous bovine named Otis (voiced by Kevin James) to save the day in this computer-animated tale. The animals in this barnyard sing, dance and party, but Otis's stern dad (Sam Elliott) warns the crew to keep their cool around humans. Troublemaker Otis rarely listens to his pop, but when the farmer disappears and the animals go nutty, the young cow realizes he must stop the madness.","[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",10.430832,happens barn stays barn things get crazy farm boisterous bovine named otis voiced kevin james save day computeranimated tale animals barnyard sing dance party otiss stern dad sam elliott warns crew keep cool around humans troublemaker otis rarely listens pop farmer disappears animals go nutty young cow realizes must stop madness
897,Deck the Halls,There glows the neighborhood,Two neighbors have it out after one of them decorates his house for the holidays so brightly that it can be seen from space.,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",5.952527,glows neighborhood two neighbors one decorates house holidays brightly seen space
898,The Twilight Saga: New Moon,The Next Chapter Begins.,"Forks, Washington resident Bella Swan is reeling from the departure of her vampire love, Edward Cullen, and finds comfort in her friendship with Jacob Black, a werewolf. But before she knows it, she's thrust into a centuries-old conflict, and her desire to be with Edward at any cost leads her to take greater and greater risks.","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",94.815867,next chapter begins forks washington resident bella swan reeling departure vampire love edward cullen finds comfort friendship jacob black werewolf knows shes thrust centuriesold conflict desire edward cost leads take greater greater risks
899,Shrek,The greatest fairy tale never told.,"It ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, Shrek teams up with an unlikely compatriot -- a wisecracking donkey.","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",67.298732,greatest fairy tale never told aint easy bein green especially youre likable albeit smelly ogre named shrek mission retrieve gorgeous princess clutches firebreathing dragon shrek teams unlikely compatriot wisecracking donkey
900,The Adjustment Bureau,Fight for your fate.,"A man glimpses the future Fate has planned for him – and chooses to fight for his own destiny. Battling the powerful Adjustment Bureau across, under and through the streets of New York, he risks his destined greatness to be with the only woman he's ever loved.","[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 10749, ""name"": ""Romance""}]",26.60772,fight fate man glimpses future fate planned chooses fight destiny battling powerful adjustment bureau across streets new york risks destined greatness woman hes ever loved
901,Robin Hood: Prince of Thieves,"For the good of all men, and the love of one woman, he fought to uphold justice by breaking the law.","When the dastardly Sheriff of Nottingham murders Robin's father, the legendary archer vows vengeance. To accomplish his mission, Robin joins forces with a band of exiled villagers (and comely Maid Marian), and together they battle to end the evil sheriff's reign of terror.","[{""id"": 12, ""name"": ""Adventure""}]",28.803728999999997,good men love one woman fought uphold justice breaking law dastardly sheriff nottingham murders robins father legendary archer vows vengeance accomplish mission robin joins forces band exiled villagers comely maid marian together battle end evil sheriffs reign terror
902,Jerry Maguire,Everybody loved him... Everybody disappeared.,"Jerry Maguire used to be a typical sports agent: willing to do just about anything he could to get the biggest possible contracts for his clients, plus a nice commission for himself. Then, one day, he suddenly has second thoughts about what he's really doing. When he voices these doubts, he ends up losing his job and all of his clients, save Rod Tidwell, an egomaniacal football player.","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",27.039635999999998,everybody loved everybody disappeared jerry maguire used typical sports agent willing anything could get biggest possible contracts clients plus nice commission one day suddenly second thoughts hes really voices doubts ends losing job clients save rod tidwell egomaniacal football player
903,Ted,Ted is coming.,"John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear or his girlfriend, Lori.","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 14, ""name"": ""Fantasy""}]",68.87691,ted coming john bennett man whose childhood wish bringing teddy bear life came true must decide keeping relationship bear girlfriend lori
904,As Good as It Gets,A comedy from the heart that goes for the throat.,"New York City. Melvin Udall, a cranky, bigoted, obsessive-compulsive writer, finds his life turned upside down when neighboring gay artist Simon is hospitalized and his dog is entrusted to Melvin. In addition, Carol, the only waitress who will tolerate him, must leave work to care for her sick son, making it impossible for Melvin to eat breakfast.","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",37.885022,comedy heart goes throat new york city melvin udall cranky bigoted obsessivecompulsive writer finds life turned upside neighboring gay artist simon hospitalized dog entrusted melvin addition carol waitress tolerate must leave work care sick son making impossible melvin eat breakfast
905,Patch Adams,Laughter is contagious,"Meet Patch Adams, a doctor who doesn't look, act or think like any doctor you've met before. For Patch, humor is the best medicine, and he's willing to do just anything to make his patients laugh - even if it means risking his own career.","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",35.537397,laughter contagious meet patch adams doctor doesnt look act think like doctor youve met patch humor best medicine hes willing anything make patients laugh even means risking career
906,Anchorman 2: The Legend Continues,It's kind of a big deal,"With the 70s behind him, San Diego's top rated newsman, Ron Burgundy, returns to take New York's first 24-hour news channel by storm.","[{""id"": 35, ""name"": ""Comedy""}]",38.125008,kind big deal 70s behind san diegos top rated newsman ron burgundy returns take new yorks first 24hour news channel storm
907,Mr. Deeds,"Small town kid, big time right hook.","When Longfellow Deeds, a small-town pizzeria owner and poet, inherits $40 billion from his deceased uncle, he quickly begins rolling in a different kind of dough. Moving to the big city, Deeds finds himself besieged by opportunists all gunning for their piece of the pie. Babe, a television tabloid reporter, poses as an innocent small-town girl to do an exposé on Deeds.","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",18.121404000000002,small town kid big time right hook longfellow deeds smalltown pizzeria owner poet inherits 40 billion deceased uncle quickly begins rolling different kind dough moving big city deeds finds besieged opportunists gunning piece pie babe television tabloid reporter poses innocent smalltown girl expos deeds
908,Super 8,It Arrives.,"In 1979 Ohio, several youngsters are making a zombie movie with a Super-8 camera. In the midst of filming, the friends witness a horrifying train derailment and are lucky to escape with their lives. They soon discover that the catastrophe was no accident, as a series of unexplained events and disappearances soon follows. Deputy Jackson Lamb, the father of one of the kids, searches for the terrifying truth behind the crash.","[{""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 9648, ""name"": ""Mystery""}]",37.069253,arrives 1979 ohio several youngsters making zombie movie super8 camera midst filming friends witness horrifying train derailment lucky escape lives soon discover catastrophe accident series unexplained events disappearances soon follows deputy jackson lamb father one kids searches terrifying truth behind crash
909,Erin Brockovich,She brought a small town to its feet and a huge corporation to its knees.,"A twice-divorced mother of three who sees an injustice, takes on the bad guy and wins -- with a little help from her push-up bra. Erin goes to work for an attorney and comes across medical records describing illnesses clustered in one nearby town. She starts investigating and soon exposes a monumental cover-up.","[{""id"": 18, ""name"": ""Drama""}]",30.347332,brought small town feet huge corporation knees twicedivorced mother three sees injustice takes bad guy wins little help pushup bra erin goes work attorney comes across medical records describing illnesses clustered one nearby town starts investigating soon exposes monumental coverup
910,How to Lose a Guy in 10 Days,One of them is lying. So is the other.,"An advice columnist, Andie Anderson (Kate Hudson), tries pushing the boundaries of what she can write about in her new piece about how to get a man to leave you in 10 days. Her editor, Lana (Bebe Neuwirth), loves it, and Andie goes off to find a man she can use for the experiment. Enter executive Ben Berry (Matthew McConaughey), who is so confident in his romantic prowess that he thinks he can make any woman fall in love with him in 10 days. When Andie and Ben meet, their plans backfire.","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",23.854701000000002,one lying advice columnist andie anderson kate hudson tries pushing boundaries write new piece get man leave 10 days editor lana bebe neuwirth loves andie goes find man use experiment enter executive ben berry matthew mcconaughey confident romantic prowess thinks make woman fall love 10 days andie ben meet plans backfire
911,22 Jump Street,They're not 21 anymore,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college. But when Jenko meets a kindred spirit on the football team, and Schmidt infiltrates the bohemian art major scene, they begin to question their partnership. Now they don't have to just crack the case - they have to figure out if they can have a mature relationship. If these two overgrown adolescents can grow from freshmen into real men, college might be the best thing that ever happened to them.","[{""id"": 80, ""name"": ""Crime""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 28, ""name"": ""Action""}]",52.380982,theyre 21 anymore making way high school twice big changes store officers schmidt jenko go deep undercover local college jenko meets kindred spirit football team schmidt infiltrates bohemian art major scene begin question partnership dont crack case figure mature relationship two overgrown adolescents grow freshmen real men college might best thing ever happened
912,Interview with the Vampire,Drink from me and live forever,"A vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter.","[{""id"": 27, ""name"": ""Horror""}, {""id"": 10749, ""name"": ""Romance""}]",50.163785,drink live forever vampire relates epic life story love betrayal loneliness dark hunger overcurious reporter
913,Yes Man,One Word Can Change Everything.,Carl Allen has stumbled across a way to shake free of post-divorce blues and a dead-end job: embrace life and say yes to everything.,"[{""id"": 35, ""name"": ""Comedy""}]",43.849351,one word change everything carl allen stumbled across way shake free postdivorce blues deadend job embrace life say yes everything
914,Central Intelligence,Saving the world takes a little Hart and a big Johnson,"After he reunites with an old pal through Facebook, a mild-mannered accountant is lured into the world of international espionage.","[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]",45.318703,saving world takes little hart big johnson reunites old pal facebook mildmannered accountant lured world international espionage
915,Stepmom,Be there for the joy. Be there for the tears. Be there for each other.,"Jackie is a divorced mother of two. Isabel is the career minded girlfriend of Jackie’s ex-husband Luke, forced into the role of unwelcome stepmother to their children. But when Jackie discovers she is ill, both women realise they must put aside their differences to find a common ground and celebrate life to the fullest, while they have the chance.","[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",16.368282999999998,joy tears jackie divorced mother two isabel career minded girlfriend jackies exhusband luke forced role unwelcome stepmother children jackie discovers ill women realise must put aside differences find common ground celebrate life fullest chance
916,Daddy's Home,Choose your Daddy,"The story of a mild-mannered radio executive (Ferrell) who strives to become the best stepdad ever to his wife's two children, but complications ensue when their freewheeling, freeloading real father arrives, forcing stepdad to compete for the affection of the kids.","[{""id"": 35, ""name"": ""Comedy""}]",38.616744,choose daddy story mildmannered radio executive ferrell strives become best stepdad ever wifes two children complications ensue freewheeling freeloading real father arrives forcing stepdad compete affection kids
917,Into the Woods,Be careful what you wish for...,"In a woods filled with magic and fairy tale characters, a baker and his wife set out to end the curse put on them by their neighbor, a spiteful witch.","[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10402, ""name"": ""Music""}]",65.90160999999999,careful wish woods filled magic fairy tale characters baker wife set end curse put neighbor spiteful witch
918,Inside Man,It looked like the perfect bank robbery. But you can't judge a crime by its cover.,"Bank robber Dalton Russell enters a Manhattan bank, locks the doors and takes hostages, working methodically and without haste. Detective Frazier is assigned to negotiate, but his mind is occupied with the corruption charges he is facing. With an army of police surrounding the bank, the thief, the cop and a high-profile 'fixer' enter high-stakes negotiations.","[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",45.220386,looked like perfect bank robbery cant judge crime cover bank robber dalton russell enters manhattan bank locks doors takes hostages working methodically without haste detective frazier assigned negotiate mind occupied corruption charges facing army police surrounding bank thief cop highprofile fixer enter highstakes negotiations
919,Payback,No More Mr. Nice Guy.,"With friends like these, who needs enemies? That's the question bad guy Porter is left asking after his wife and partner steal his heist money and leave him for dead -- or so they think. Five months and an endless reservoir of bitterness later, Porter's partners and the crooked cops on his tail learn how bad payback can be.","[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",17.457947,mr nice guy friends like needs enemies thats question bad guy porter left asking wife partner steal heist money leave dead think five months endless reservoir bitterness later porters partners crooked cops tail learn bad payback
920,Congo,Where you are the endangered species.,"Eight people embark on an expedition into the Congo, a mysterious expanse of unexplored Africa where human greed and the laws of nature have gone berserk. When the thrill-seekers -- some with ulterior motives -- stumble across a race of killer apes.","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",10.755847,endangered species eight people embark expedition congo mysterious expanse unexplored africa human greed laws nature gone berserk thrillseekers ulterior motives stumble across race killer apes
921,We Bought a Zoo,A True Zoo Story,"Benjamin has lost his wife and, in a bid to start his life over, purchases a large house that has a zoo – welcome news for his daughter, but his son is not happy about it. The zoo is need of renovation and Benjamin sets about the work with the head keeper and the rest of the staff, but, the zoo soon runs into financial trouble.","[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",38.629763,true zoo story benjamin lost wife bid start life purchases large house zoo welcome news daughter son happy zoo need renovation benjamin sets work head keeper rest staff zoo soon runs financial trouble
922,Knowing,Knowing is everything...,A teacher opens a time capsule that has been dug up at his son's elementary school; in it are some chilling predictions -- some that have already occurred and others that are about to -- that lead him to believe his family plays a role in the events that are about to unfold.,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",32.693093,knowing everything teacher opens time capsule dug sons elementary school chilling predictions already occurred others lead believe family plays role events unfold
923,Failure to Launch,"To leave the nest, some men just need a little push.","Tripp, an attractive man in his thirties, is still living with his parents Al and Sue. Tripp's best friends Demo and Ace are also still living in their parents' homes and seem proud of it. Al and Sue are not happy, however, and are fascinated when friends whose adult son has recently moved away from home reveal they hired an expert to arrange the matter and couldn't be happier with the result.","[{""id"": 35, ""name"": ""Comedy""}]",18.806031,leave nest men need little push tripp attractive man thirties still living parents al sue tripps best friends demo ace also still living parents homes seem proud al sue happy however fascinated friends whose adult son recently moved away home reveal hired expert arrange matter couldnt happier result
924,The Ring Two,The dead don't sleep.,Rachel Keller must prevent evil Samara from taking possession of her son's soul.,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",32.233713,dead dont sleep rachel keller must prevent evil samara taking possession sons soul
925,"Crazy, Stupid, Love.",This Is Stupid,"Cal Weaver is living the American dream. He has a good job, a beautiful house, great children and a beautiful wife, named Emily. Cal's seemingly perfect life unravels, however, when he learns that Emily has been unfaithful and wants a divorce. Over 40 and suddenly single, Cal is adrift in the fickle world of dating. Enter, Jacob Palmer, a self-styled player who takes Cal under his wing and teaches him how to be a hit with the ladies.","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",37.990705,stupid cal weaver living american dream good job beautiful house great children beautiful wife named emily cals seemingly perfect life unravels however learns emily unfaithful wants divorce 40 suddenly single cal adrift fickle world dating enter jacob palmer selfstyled player takes cal wing teaches hit ladies
926,Garfield,Get ready for frisky business.,"Garfield, the fat, lazy, lasagna lover, has everything a cat could want. But when Jon, in an effort to impress the Liz - the vet and an old high-school crush - adopts a dog named Odie and brings him home, Garfield gets the one thing he doesn't want. Competition.","[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",17.667826,get ready frisky business garfield fat lazy lasagna lover everything cat could want jon effort impress liz vet old highschool crush adopts dog named odie brings home garfield gets one thing doesnt want competition
927,Christmas with the Kranks,No! Ho! Ho!,"Luther Krank is fed up with the commerciality of Christmas; he decides to skip the holiday and go on a vacation with his wife instead. But when his daughter decides at the last minute to come home, he must put together a holiday celebration.","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",9.225166,ho ho luther krank fed commerciality christmas decides skip holiday go vacation wife instead daughter decides last minute come home must put together holiday celebration
928,Moneyball,What are you really worth?,"The story of Oakland Athletics general manager Billy Beane's successful attempt to put together a baseball team on a budget, by employing computer-generated analysis to draft his players.","[{""id"": 18, ""name"": ""Drama""}]",46.180421,really worth story oakland athletics general manager billy beanes successful attempt put together baseball team budget employing computergenerated analysis draft players
929,Outbreak,This animal carries a deadly virus... and the greatest medical crisis in the world is about to happen.,"A deadly airborne virus finds its way into the USA and starts killing off people at an epidemic rate. Col Sam Daniels' job is to stop the virus spreading from a small town, which must be quarantined, and to prevent an over reaction by the White House.","[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",30.397496000000004,animal carries deadly virus greatest medical crisis world happen deadly airborne virus finds way usa starts killing people epidemic rate col sam daniels job stop virus spreading small town must quarantined prevent reaction white house
930,Non-Stop,The hijacking was just the beginning.,"Bill Marks is a burned-out veteran of the Air Marshals service. He views the assignment not as a life-saving duty, but as a desk job in the sky. However, today's flight will be no routine trip. Shortly into the transatlantic journey from New York to London, he receives a series of mysterious text messages ordering him to have the government transfer $150 million into a secret account, or a passenger will die every 20 minutes.","[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}]",83.295796,hijacking beginning bill marks burnedout veteran air marshals service views assignment lifesaving duty desk job sky however todays flight routine trip shortly transatlantic journey new york london receives series mysterious text messages ordering government transfer 150 million secret account passenger die every 20 minutes
931,Race to Witch Mountain,The race is on,"A taxi driver gets more than he bargained for when he picks up two teen runaways. Not only does the pair possess supernatural powers, but they're also trying desperately to escape people who have made them their targets.","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}]",23.935053,race taxi driver gets bargained picks two teen runaways pair possess supernatural powers theyre also trying desperately escape people made targets
932,V for Vendetta,People should not be afraid of their governments. Governments should be afraid of their people.,"In a world in which Great Britain has become a fascist state, a masked vigilante known only as 'V' conducts guerrilla warfare against the oppressive British government. When 'V' rescues a young woman from the secret police, he finds in her an ally with whom he can continue his fight to free the people of Britain.","[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 14, ""name"": ""Fantasy""}]",84.630969,people afraid governments governments afraid people world great britain become fascist state masked vigilante known v conducts guerrilla warfare oppressive british government v rescues young woman secret police finds ally continue fight free people britain
933,Shanghai Knights,A Royal Kick In The Arse.,"The dynamic duo of Chon Wang and Roy O'Bannon return for another crazy adventure. This time, they're in London to avenge the murder of Chon's father, but end up on an even bigger case. Chon's sister is there to do the same, but instead unearths a plot to kill the royal family. No one believes her, though, and it's up to Chon and Roy (who has romance on his mind) to prove her right.","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 37, ""name"": ""Western""}]",16.251204,royal kick arse dynamic duo chon wang roy obannon return another crazy adventure time theyre london avenge murder chons father end even bigger case chons sister instead unearths plot kill royal family one believes though chon roy romance mind prove right
934,Curious George,Get Carried Away With The Cutest Little Monkey Around!,"When The Man in the Yellow Hat befriends Curious George in the jungle, they set off on a non-stop, fun-filled journey through the wonders of the big city toward the warmth of true friendship.","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",9.894346,get carried away cutest little monkey around man yellow hat befriends curious george jungle set nonstop funfilled journey wonders big city toward warmth true friendship
935,Herbie Fully Loaded,Start your engines...,"Maggie Peyton, the new owner of Number 53 - the free-wheelin' Volkswagen bug with a mind of its own - puts the car through its paces on the road to becoming a NASCAR competitor.","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10749, ""name"": ""Romance""}]",12.050755,start engines maggie peyton new owner number 53 freewheelin volkswagen bug mind puts car paces road becoming nascar competitor
936,Don't Say a Word,...I'll never tell.,"When the daughter of a psychiatrist is kidnapped, he's horrified to discover that the abductors' demand is that he break through to a post traumatic stress disorder suffering young woman who knows a secret..","[{""id"": 53, ""name"": ""Thriller""}]",11.596207000000001,ill never tell daughter psychiatrist kidnapped hes horrified discover abductors demand break post traumatic stress disorder suffering young woman knows secret
937,Hansel & Gretel: Witch Hunters,Classic tale. New twist.,"After getting a taste for blood as children, Hansel and Gretel have become the ultimate vigilantes, hell-bent on retribution. Now, unbeknownst to them, Hansel and Gretel have become the hunted, and must face an evil far greater than witches... their past.","[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 28, ""name"": ""Action""}]",53.02786999999999,classic tale new twist getting taste blood children hansel gretel become ultimate vigilantes hellbent retribution unbeknownst hansel gretel become hunted must face evil far greater witches past
938,Unfaithful,Where do you go when you've gone too far?,"Connie is a wife and mother whose 11-year marriage to Edward has lost its sexual spark. When Connie literally runs into handsome book collector Paul, he sweeps her into an all-consuming affair. But Edward soon becomes suspicious and decides to confront the other man.","[{""id"": 53, ""name"": ""Thriller""}, {""id"": 18, ""name"": ""Drama""}]",14.382253,go youve gone far connie wife mother whose 11year marriage edward lost sexual spark connie literally runs handsome book collector paul sweeps allconsuming affair edward soon becomes suspicious decides confront man
939,I Am Number Four,Three like him have already been killed…he is Number Four.,"A teenage fugitive with an incredible secret races to stay one step ahead of the mysterious forces seeking destroy him in this sci-fi action thriller. With three dead and one on the run, the race to find the elusive Number Four begins. Outwardly normal teen John Smith never gets too comfortable in the same identity, and along with his guardian, Henri, he is constantly moving from town to town. With each passing day, John gains a stronger grasp on his extraordinary new powers, and his bond to the beings that share his fantastic fate grows stronger.","[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",43.450266,three like already killedhe number four teenage fugitive incredible secret races stay one step ahead mysterious forces seeking destroy scifi action thriller three dead one run race find elusive number four begins outwardly normal teen john smith never gets comfortable identity along guardian henri constantly moving town town passing day john gains stronger grasp extraordinary new powers bond beings share fantastic fate grows stronger
940,Syriana,Everything is connected.,"The Middle Eastern oil industry is the backdrop of this tense drama, which weaves together numerous story lines. Bennett Holiday is an American lawyer in charge of facilitating a dubious merger of oil companies, while Bryan Woodman, a Switzerland-based energy analyst, experiences both personal tragedy and opportunity during a visit with Arabian royalty. Meanwhile, veteran CIA agent Bob Barnes uncovers an assassination plot with unsettling origins.","[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",16.871194,everything connected middle eastern oil industry backdrop tense drama weaves together numerous story lines bennett holiday american lawyer charge facilitating dubious merger oil companies bryan woodman switzerlandbased energy analyst experiences personal tragedy opportunity visit arabian royalty meanwhile veteran cia agent bob barnes uncovers assassination plot unsettling origins
941,13 Hours: The Secret Soldiers of Benghazi,"When everything went wrong, six men had the courage to do what was right.",An American Ambassador is killed during an attack at a U.S. compound in Libya as a security team struggles to make sense out of the chaos.,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 10752, ""name"": ""War""}]",42.526529,everything went wrong six men courage right american ambassador killed attack us compound libya security team struggles make sense chaos
942,The Book of Life,,"The journey of Manolo, a young man who is torn between fulfilling the expectations of his family and following his heart. Before choosing which path to follow, he embarks on an incredible adventure that spans three fantastical worlds where he must face his greatest fears.","[{""id"": 10749, ""name"": ""Romance""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",34.890999,journey manolo young man torn fulfilling expectations family following heart choosing path follow embarks incredible adventure spans three fantastical worlds must face greatest fears
943,Firewall,Nothing Is More Dangerous Than A Man With Everything To Lose.,"State-of-the-art security system creator, Jack Stanfield has cemented his reputation as a man who's thought of everything. But when a criminal finds a way into Jack's personal life, everything Jack holds dear is suddenly at stake.","[{""id"": 53, ""name"": ""Thriller""}]",18.186026000000002,nothing dangerous man everything lose stateoftheart security system creator jack stanfield cemented reputation man whos thought everything criminal finds way jacks personal life everything jack holds dear suddenly stake
944,Absolute Power,Corrupts Absolutely.,A master thief coincidentally is robbing a house where a murder in which the President of The United States is involved occurs in front of his eyes. He is forced to run yet may hold evidence that could convict the President. A political thriller from and starring Clint Eastwood and based on a novel by David Baldacci.,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",13.576765,corrupts absolutely master thief coincidentally robbing house murder president united states involved occurs front eyes forced run yet may hold evidence could convict president political thriller starring clint eastwood based novel david baldacci
945,G.I. Jane,Failure is not an option.,A female Senator succeeds in enrolling a woman into Combined Reconnaissance Team training where everyone expects her to fail.,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}]",19.434672,failure option female senator succeeds enrolling woman combined reconnaissance team training everyone expects fail
946,The Game,What do you get for the man who has everything?,"In honor of his birthday, San Francisco banker Nicholas Van Orton, a financial genius and a coldhearted loner, receives an unusual present from his younger brother, Conrad -- a gift certificate to play a unique kind of game. In nearly a nanosecond, Nicholas finds himself consumed by a dangerous set of ever-changing rules, unable to distinguish where the charade ends and reality begins.","[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}]",62.925175,get man everything honor birthday san francisco banker nicholas van orton financial genius coldhearted loner receives unusual present younger brother conrad gift certificate play unique kind game nearly nanosecond nicholas finds consumed dangerous set everchanging rules unable distinguish charade ends reality begins
